
,,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,,,,
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
1261,Henrik Zetterberg\zettehe01,35-206,LW,2016-03-17,DET,@,CBJ,W,1,0,1,1,2,1,0,0,1,100.0,24,20:56
1262,Tomas Tatar\tatarto01,25-259,C,2016-03-17,DET,@,CBJ,W,0,0,0,0,0,0,0,0,2,0.0,19,13:04
1263,Brendan Smith\smithbr05,27-038,D,2016-03-17,DET,@,CBJ,W,0,0,0,3,2,0,0,0,1,0.0,26,17:47
1264,Riley Sheahan\sheahri01,24-265,C,2016-03-17,DET,@,CBJ,W,0,1,1,1,0,0,0,0,1,0.0,20,11:01
1265,Brad Richards\richabr01,35-046,C,2016-03-17,DET,@,CBJ,W,0,0,0,0,0,0,0,0,3,0.0,14,11:51
1266,Kyle Quincey\quincky01,30-148,D,2016-03-17,DET,@,CBJ,W,0,0,0,1,2,0,0,0,0,,26,18:31
1267,Gustav Nyquist\nyquigu01,26-168,RW,2016-03-17,DET,@,CBJ,W,0,0,0,0,0,0,0,0,1,0.0,20,15:05
1268,Alexey Marchenko\marchal01,24-075,D,2016-03-17,DET,@,CBJ,W,0,0,0,1,0,0,0,0,1,0.0,27,18:44
1269,Anthony Mantha\manthan01,21-183,RW,2016-03-17,DET,@,CBJ,W,0,0,0,0,0,0,0,0,2,0.0,17,14:25
1270,Dylan Larkin\larkidy01,19-135,C,2016-03-17,DET,@,CBJ,W,0,1,1,1,0,0,0,0,1,0.0,22,18:07
1271,Darren Helm\helmda01,29-056,C,2016-03-17,DET,@,CBJ,W,1,0,1,1,0,1,0,0,3,33.3,20,14:17
1272,Mike Green\greenmi03,30-209,D,2016-03-17,DET,@,CBJ,W,0,0,0,1,0,0,0,0,2,0.0,21,16:43
1273,Luke Glendening\glendlu01,26-042,C,2016-03-17,DET,@,CBJ,W,1,0,1,2,0,1,0,0,1,100.0,20,14:38
1274,Jonathan Ericsson\ericsjo01,32-015,D,2016-03-17,DET,@,CBJ,W,0,0,0,0,0,0,0,0,0,,28,19:11
1275,Danny DeKeyser\dekeyda01,26-010,D,2016-03-17,DET,@,CBJ,W,0,0,0,0,0,0,0,0,0,,33,23:49
1276,Pavel Datsyuk\datsypa01,37-125,C,2016-03-17,DET,@,CBJ,W,0,0,0,1,0,0,0,0,1,0.0,24,19:33
1277,Andreas Athanasiou\athanan01,21-142,C,2016-03-17,DET,@,CBJ,W,0,1,1,1,0,0,0,0,1,0.0,14,10:01
1278,Justin Abdelkader\abdelju01,29-021,LW,2016-03-17,DET,@,CBJ,W,0,1,1,1,0,0,0,0,1,0.0,26,18:06
1279,Henrik Zetterberg\zettehe01,35-204,LW,2016-03-19,DET,@,FLA,W,0,0,0,-1,0,0,0,0,0,,23,18:39
1280,Tomas Tatar\tatarto01,25-257,C,2016-03-19,DET,@,FLA,W,1,0,1,0,0,0,1,0,3,33.3,18,14:10
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
1281,Brendan Smith\smithbr05,27-040,D,2016-03-19,DET,@,FLA,W,0,0,0,-1,2,0,0,0,1,0.0,28,16:37
1282,Riley Sheahan\sheahri01,24-263,C,2016-03-19,DET,@,FLA,W,0,0,0,1,0,0,0,0,1,0.0,24,15:32
1283,Brad Richards\richabr01,35-044,C,2016-03-19,DET,@,FLA,W,0,1,1,0,0,0,0,0,0,,15,9:57
1284,Kyle Quincey\quincky01,30-146,D,2016-03-19,DET,@,FLA,W,0,0,0,0,2,0,0,0,0,,33,19:26
1285,Gustav Nyquist\nyquigu01,26-166,RW,2016-03-19,DET,@,FLA,W,0,1,1,0,0,0,0,0,5,0.0,19,14:30
1286,Anthony Mantha\manthan01,21-181,RW,2016-03-19,DET,@,FLA,W,0,0,0,-1,0,0,0,0,3,0.0,13,10:56
1287,Dylan Larkin\larkidy01,19-133,C,2016-03-19,DET,@,FLA,W,1,1,2,0,0,1,0,0,4,25.0,22,15:15
1288,Niklas Kronwall\kronwni01,35-067,D,2016-03-19,DET,@,FLA,W,0,2,2,1,0,0,0,0,2,0.0,36,22:29
1289,Darren Helm\helmda01,29-058,C,2016-03-19,DET,@,FLA,W,0,0,0,-1,2,0,0,0,1,0.0,19,13:32
1290,Mike Green\greenmi03,30-207,D,2016-03-19,DET,@,FLA,W,0,1,1,-1,0,0,0,0,1,0.0,28,18:09
1291,Luke Glendening\glendlu01,26-040,C,2016-03-19,DET,@,FLA,W,1,0,1,2,0,1,0,0,2,50.0,27,18:11
1292,Jonathan Ericsson\ericsjo01,32-017,D,2016-03-19,DET,@,FLA,W,0,1,1,0,0,0,0,0,1,0.0,35,20:25
1293,Danny DeKeyser\dekeyda01,26-012,D,2016-03-19,DET,@,FLA,W,0,0,0,1,0,0,0,0,0,,34,20:41
1294,Pavel Datsyuk\datsypa01,37-123,C,2016-03-19,DET,@,FLA,W,2,0,2,0,0,1,1,0,4,50.0,26,18:50
1295,Andreas Athanasiou\athanan01,21-140,C,2016-03-19,DET,@,FLA,W,0,0,0,-1,0,0,0,0,1,0.0,9,6:28
1296,Justin Abdelkader\abdelju01,29-023,LW,2016-03-19,DET,@,FLA,W,0,2,2,1,7,0,0,0,1,0.0,22,18:22
1297,Henrik Zetterberg\zettehe01,35-201,LW,2016-03-22,DET,@,TBL,L,0,1,1,-2,0,0,0,0,1,0.0,17,14:24
1298,Tomas Tatar\tatarto01,25-254,C,2016-03-22,DET,@,TBL,L,0,0,0,-1,0,0,0,0,3,0.0,17,12:54
1299,Brendan Smith\smithbr05,27-043,D,2016-03-22,DET,@,TBL,L,0,0,0,-1,5,0,0,0,5,0.0,25,20:28
1300,Riley Sheahan\sheahri01,24-260,C,2016-03-22,DET,@,TBL,L,0,0,0,-2,0,0,0,0,0,,20,14:55
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
1301,Brad Richards\richabr01,35-041,C,2016-03-22,DET,@,TBL,L,0,0,0,-1,0,0,0,0,1,0.0,14,12:23
1302,Kyle Quincey\quincky01,30-143,D,2016-03-22,DET,@,TBL,L,0,0,0,0,2,0,0,0,1,0.0,28,18:26
1303,Gustav Nyquist\nyquigu01,26-163,RW,2016-03-22,DET,@,TBL,L,0,0,0,-1,2,0,0,0,1,0.0,19,15:08
1304,Anthony Mantha\manthan01,21-178,RW,2016-03-22,DET,@,TBL,L,0,1,1,0,0,0,0,0,2,0.0,17,12:57
1305,Dylan Larkin\larkidy01,19-130,C,2016-03-22,DET,@,TBL,L,0,0,0,-1,0,0,0,0,1,0.0,17,14:48
1306,Niklas Kronwall\kronwni01,35-070,D,2016-03-22,DET,@,TBL,L,0,1,1,-3,2,0,0,0,1,0.0,24,16:47
1307,Darren Helm\helmda01,29-061,C,2016-03-22,DET,@,TBL,L,1,0,1,-1,0,1,0,0,2,50.0,22,15:15
1308,Mike Green\greenmi03,30-204,D,2016-03-22,DET,@,TBL,L,0,0,0,0,2,0,0,0,1,0.0,26,23:15
1309,Luke Glendening\glendlu01,26-037,C,2016-03-22,DET,@,TBL,L,0,0,0,-1,2,0,0,0,0,,20,14:30
1310,Jonathan Ericsson\ericsjo01,32-020,D,2016-03-22,DET,@,TBL,L,0,0,0,-4,0,0,0,0,1,0.0,28,18:00
1311,Danny DeKeyser\dekeyda01,26-015,D,2016-03-22,DET,@,TBL,L,0,0,0,0,0,0,0,0,0,,29,21:02
1312,Pavel Datsyuk\datsypa01,37-120,C,2016-03-22,DET,@,TBL,L,0,1,1,0,0,0,0,0,1,0.0,19,15:04
1313,Andreas Athanasiou\athanan01,21-137,C,2016-03-22,DET,@,TBL,L,0,0,0,-1,0,0,0,0,3,0.0,18,13:35
1314,Justin Abdelkader\abdelju01,29-026,LW,2016-03-22,DET,@,TBL,L,1,0,1,-1,2,0,1,0,1,100.0,21,15:08
1315,Henrik Zetterberg\zettehe01,35-199,LW,2016-03-24,DET,,MTL,W,0,0,0,-2,0,0,0,0,1,0.0,27,20:22
1316,Tomas Tatar\tatarto01,25-252,C,2016-03-24,DET,,MTL,W,0,0,0,1,0,0,0,0,0,,16,12:37
1317,Brendan Smith\smithbr05,27-045,D,2016-03-24,DET,,MTL,W,0,2,2,2,2,0,0,0,2,0.0,25,18:19
1318,Riley Sheahan\sheahri01,24-258,C,2016-03-24,DET,,MTL,W,2,0,2,1,0,2,0,0,4,50.0,23,15:01
1319,Brad Richards\richabr01,35-039,C,2016-03-24,DET,,MTL,W,0,1,1,0,0,0,0,0,3,0.0,17,12:17
1320,Kyle Quincey\quincky01,30-141,D,2016-03-24,DET,,MTL,W,0,0,0,1,2,0,0,0,4,0.0,34,21:56
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
1321,Gustav Nyquist\nyquigu01,26-161,RW,2016-03-24,DET,,MTL,W,0,0,0,0,0,0,0,0,0,,20,14:31
1322,Anthony Mantha\manthan01,21-176,RW,2016-03-24,DET,,MTL,W,1,0,1,1,0,0,1,0,3,33.3,18,12:02
1323,Dylan Larkin\larkidy01,19-128,C,2016-03-24,DET,,MTL,W,0,0,0,-2,0,0,0,0,6,0.0,24,18:09
1324,Niklas Kronwall\kronwni01,35-072,D,2016-03-24,DET,,MTL,W,0,0,0,-3,0,0,0,0,1,0.0,28,18:37
1325,Darren Helm\helmda01,29-063,C,2016-03-24,DET,,MTL,W,0,1,1,1,0,0,0,0,4,0.0,25,16:15
1326,Mike Green\greenmi03,30-202,D,2016-03-24,DET,,MTL,W,0,2,2,1,2,0,0,0,0,,26,19:48
1327,Luke Glendening\glendlu01,26-035,C,2016-03-24,DET,,MTL,W,1,0,1,1,0,1,0,0,3,33.3,26,14:11
1328,Jonathan Ericsson\ericsjo01,32-022,D,2016-03-24,DET,,MTL,W,0,0,0,-1,0,0,0,0,0,,25,13:40
1329,Danny DeKeyser\dekeyda01,26-017,D,2016-03-24,DET,,MTL,W,0,0,0,0,0,0,0,0,2,0.0,33,20:23
1330,Pavel Datsyuk\datsypa01,37-118,C,2016-03-24,DET,,MTL,W,0,1,1,1,0,0,0,0,2,0.0,25,19:09
1331,Andreas Athanasiou\athanan01,21-135,C,2016-03-24,DET,,MTL,W,0,1,1,1,0,0,0,0,4,0.0,12,8:24
1332,Justin Abdelkader\abdelju01,29-028,LW,2016-03-24,DET,,MTL,W,0,0,0,-3,2,0,0,0,1,0.0,28,20:33
1333,Henrik Zetterberg\zettehe01,35-197,LW,2016-03-26,DET,,PIT,L,0,0,0,-1,0,0,0,0,2,0.0,21,14:39
1334,Tomas Tatar\tatarto01,25-250,C,2016-03-26,DET,,PIT,L,0,1,1,-1,0,0,0,0,1,0.0,19,12:50
1335,Brendan Smith\smithbr05,27-047,D,2016-03-26,DET,,PIT,L,0,0,0,-2,0,0,0,0,0,,27,19:19
1336,Riley Sheahan\sheahri01,24-256,C,2016-03-26,DET,,PIT,L,0,0,0,0,0,0,0,0,1,0.0,21,13:44
1337,Brad Richards\richabr01,35-037,C,2016-03-26,DET,,PIT,L,0,1,1,1,0,0,0,0,1,0.0,15,11:30
1338,Kyle Quincey\quincky01,30-139,D,2016-03-26,DET,,PIT,L,0,0,0,-1,0,0,0,0,0,,31,21:01
1339,Gustav Nyquist\nyquigu01,26-159,RW,2016-03-26,DET,,PIT,L,0,0,0,-1,2,0,0,0,1,0.0,20,14:43
1340,Anthony Mantha\manthan01,21-174,RW,2016-03-26,DET,,PIT,L,0,0,0,-3,0,0,0,0,1,0.0,20,13:17
